Nbr_neighbor,Iteration,Time_taken
2,0,5063
2,1,5001
2,2,5047
2,3,6379
2,4,5228
2,5,6065
2,6,5583
2,7,5161
2,8,6143
2,9,6463
4,0,22158
4,1,27587
4,2,31583
4,3,35482
4,4,43492
4,5,40423
4,6,50323
4,7,46824
4,8,45791
4,9,49885
8,0,154020
8,1,111050
8,2,121306
8,3,119944
8,4,116361
8,5,107168
8,6,129452
8,7,130487
8,8,138041
8,9,102251
16,0,631365
16,1,577351
16,2,685086
16,3,634109
16,4,659422
16,5,567360
16,6,573745
16,7,559618
16,8,630881
16,9,621733
32,0,1774369
32,1,1835802
32,2,1847631
32,3,1824344
32,4,1922389
32,5,1863412
32,6,1839424
32,7,1838137
32,8,1794004
32,9,1846780
64,0,6512211
64,1,6423247
64,2,6510698
64,3,6519868
64,4,6483586
64,5,6488099
64,6,6456632
64,7,6425213
64,8,6452651
64,9,6489229
128,0,25382768
128,1,25260178
128,2,25248863
128,3,25243121
128,4,25272056
128,5,25368751
128,6,25329377
128,7,25369441
128,8,25322631
128,9,25232530
