Sample_size,Iteration,Time_taken
1,0,904
1,1,792
1,2,1068
1,3,1078
1,4,1124
1,5,1381
1,6,1638
1,7,1542
1,8,2005
1,9,1398
2,0,146126
2,1,162862
2,2,146380
2,3,125316
2,4,121441
2,5,136414
2,6,139794
2,7,130996
2,8,135583
2,9,130705
3,0,129906
3,1,128028
3,2,128923
3,3,140704
3,4,152992
3,5,150519
3,6,130642
3,7,128617
3,8,144473
3,9,140321
4,0,171764
4,1,172746
4,2,159992
4,3,168676
4,4,169976
4,5,159741
4,6,159334
4,7,171811
4,8,178274
4,9,165791
5,0,172696
5,1,176083
5,2,174245
5,3,162694
5,4,169233
5,5,164426
5,6,179054
5,7,172266
5,8,164066
5,9,177316
6,0,169085
6,1,175544
6,2,181816
6,3,181353
6,4,186971
6,5,181402
6,6,189293
6,7,169649
6,8,169105
6,9,171632
7,0,177306
7,1,176539
7,2,179507
7,3,190341
7,4,180650
7,5,182125
7,6,177274
7,7,174949
7,8,177536
7,9,169991
8,0,184237
8,1,170246
8,2,171069
8,3,176166
8,4,171580
8,5,169632
8,6,170930
8,7,170349
8,8,171936
8,9,183235
9,0,185589
9,1,176403
9,2,185956
9,3,186099
9,4,196518
9,5,168639
9,6,161600
9,7,165145
9,8,166759
9,9,177998
10,0,182983
10,1,171280
10,2,168592
10,3,173539
10,4,171969
10,5,163973
10,6,181276
10,7,163578
10,8,196950
10,9,164284
11,0,187486
11,1,166958
11,2,164638
11,3,163946
11,4,178781
11,5,164688
11,6,162515
11,7,192008
11,8,179257
11,9,183389
12,0,165917
12,1,182001
12,2,165170
12,3,173538
12,4,172013
12,5,185515
12,6,177692
12,7,167080
12,8,175744
12,9,175085
13,0,184563
13,1,168109
13,2,182390
13,3,178561
13,4,168176
13,5,169551
13,6,179546
13,7,174262
13,8,169239
13,9,189412
14,0,186092
14,1,177612
14,2,169060
14,3,170047
14,4,175192
14,5,176844
14,6,171086
14,7,172599
14,8,168981
14,9,182808
15,0,186172
15,1,180189
15,2,179094
15,3,188746
15,4,192792
15,5,168453
15,6,169690
15,7,168721
15,8,174969
15,9,174267
16,0,174628
16,1,170472
16,2,170307
16,3,170862
16,4,179484
16,5,180876
16,6,169965
16,7,194261
16,8,182180
16,9,185250
17,0,175880
17,1,180437
17,2,177480
17,3,184091
17,4,177837
17,5,173543
17,6,185299
17,7,183046
17,8,188904
17,9,183020
18,0,181943
18,1,178130
18,2,178725
18,3,175774
18,4,175730
18,5,175742
18,6,181275
18,7,180813
18,8,179724
18,9,178450
19,0,182453
19,1,191853
19,2,182912
19,3,196954
19,4,179465
19,5,183629
19,6,176758
19,7,177747
19,8,197679
19,9,197435
20,0,177102
20,1,191490
20,2,181178
20,3,177773
20,4,176554
20,5,178708
20,6,194641
20,7,189778
20,8,180759
20,9,176881
21,0,195875
21,1,181758
21,2,180102
21,3,195287
21,4,179057
21,5,181251
21,6,191274
21,7,179242
21,8,191906
21,9,179668
22,0,179751
22,1,188475
22,2,193775
22,3,190650
22,4,182821
22,5,182823
22,6,187431
22,7,189033
22,8,179882
22,9,184388
23,0,189178
23,1,199444
23,2,183941
23,3,188707
23,4,194045
23,5,190434
23,6,190642
23,7,185054
23,8,193080
23,9,181002
24,0,182186
24,1,191453
24,2,183021
24,3,182048
24,4,197130
24,5,187476
24,6,180771
24,7,195008
24,8,184573
24,9,203127
25,0,192733
25,1,185396
25,2,202294
25,3,192205
25,4,191180
25,5,190452
25,6,188506
25,7,191644
25,8,190557
25,9,183327
26,0,183969
26,1,195677
26,2,183323
26,3,183327
26,4,189541
26,5,199118
26,6,193491
26,7,208554
26,8,191115
26,9,191146
27,0,184331
27,1,191815
27,2,184834
27,3,185098
27,4,185985
27,5,202000
27,6,185305
27,7,193189
27,8,186341
27,9,184803
28,0,203196
28,1,194546
28,2,200700
28,3,194370
28,4,195131
28,5,189307
28,6,185614
28,7,186177
28,8,185923
28,9,190913
29,0,195741
29,1,204351
29,2,191398
29,3,189813
29,4,195152
29,5,194182
29,6,190037
29,7,183874
29,8,183042
29,9,201290
30,0,185560
30,1,188668
30,2,196282
30,3,195304
30,4,195439
30,5,208296
30,6,191621
30,7,188639
30,8,185139
30,9,190526
31,0,190593
31,1,193125
31,2,196121
31,3,187075
31,4,190069
31,5,208192
31,6,190644
31,7,189166
31,8,197515
31,9,196141
32,0,189636
32,1,193269
32,2,193459
32,3,190429
32,4,197622
32,5,189344
32,6,203536
32,7,192622
32,8,204847
32,9,190627
33,0,187852
33,1,189624
33,2,201550
33,3,188607
33,4,189079
33,5,198590
33,6,191705
33,7,201917
33,8,187903
33,9,192313
34,0,204464
34,1,191469
34,2,202317
34,3,208221
34,4,199396
34,5,197291
34,6,194602
34,7,198412
34,8,200284
34,9,187969
35,0,196067
35,1,190113
35,2,190806
35,3,189690
35,4,194342
35,5,193553
35,6,190237
35,7,202441
35,8,195757
35,9,190987
36,0,190237
36,1,192561
36,2,191685
36,3,192539
36,4,201031
36,5,190456
36,6,204404
36,7,197566
36,8,201603
36,9,201292
37,0,197384
37,1,198619
37,2,199239
37,3,200123
37,4,194071
37,5,196534
37,6,197149
37,7,210196
37,8,199049
37,9,194533
38,0,218704
38,1,204758
38,2,195616
38,3,199081
38,4,212734
38,5,197551
38,6,209735
38,7,196150
38,8,201087
38,9,194535
39,0,211918
39,1,199566
39,2,202456
39,3,196379
39,4,194242
39,5,202290
39,6,209137
39,7,201638
39,8,192346
39,9,208271
40,0,212200
40,1,194662
40,2,202388
40,3,201137
40,4,199728
40,5,208228
40,6,193978
40,7,199349
40,8,195199
40,9,214277
41,0,197333
41,1,209715
41,2,196584
41,3,196254
41,4,194576
41,5,199211
41,6,195549
41,7,194950
41,8,195368
41,9,195508
42,0,198010
42,1,197208
42,2,195658
42,3,199741
42,4,197817
42,5,199801
42,6,198820
42,7,207454
42,8,195591
42,9,196077
43,0,196967
43,1,196699
43,2,202531
43,3,198528
43,4,196597
43,5,197538
43,6,197334
43,7,197697
43,8,203706
43,9,213497
44,0,198318
44,1,207998
44,2,201440
44,3,199263
44,4,205310
44,5,213175
44,6,197626
44,7,208917
44,8,197749
44,9,203683
45,0,212269
45,1,202030
45,2,196963
45,3,210328
45,4,196949
45,5,202240
45,6,196826
45,7,199443
45,8,196744
45,9,198327
46,0,204374
46,1,198356
46,2,197381
46,3,197657
46,4,204833
46,5,203267
46,6,211931
46,7,201137
46,8,196666
46,9,201311
47,0,198479
47,1,206908
47,2,205519
47,3,196391
47,4,224458
47,5,196938
47,6,198022
47,7,200910
47,8,195912
47,9,201535
48,0,201059
48,1,200253
48,2,212180
48,3,200594
48,4,204427
48,5,203665
48,6,201112
48,7,203610
48,8,197906
48,9,211674
49,0,198041
49,1,205650
49,2,209518
49,3,212458
49,4,203537
49,5,207811
49,6,198501
49,7,198656
49,8,197963
49,9,205422
50,0,197870
50,1,200153
50,2,198551
50,3,198173
50,4,197696
50,5,199033
50,6,197988
50,7,197500
50,8,205378
50,9,197528
